# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  380,20100105,  -23
  380,20100106,  -47
  380,20100107,  -61
  380,20100108,  -51
  380,20100109,  -25
  380,20100110,  -22
  380,20100111,  -16
  380,20100112,  -17
  380,20100113,  -10
  380,20100114,    4
  380,20100115,    0
  380,20100116,   17
  380,20100117,   47
  380,20100118,   37
  380,20100119,   36
  380,20100120,   24
  380,20100121,   27
  380,20100122,   36
  380,20100123,   23
  380,20100124,    8
  380,20100125,   -8
  380,20100126,  -55
  380,20100127,  -34
  380,20100128,   17
  380,20100129,   10
  380,20100130,   -8
  380,20100131,    3
  380,20100201,    2
  380,20100202,   15
  380,20100203,   21
  380,20100204,   56
  380,20100205,   51
  380,20100206,   45
  380,20100207,   15
  380,20100208,  -10
  380,20100209,  -44
  380,20100210,  -53
  380,20100211,  -36
  380,20100212,  -44
  380,20100213,  -32
  380,20100214,  -31
  380,20100215,  -37
  380,20100216,  -16
  380,20100217,   -1
  380,20100218,   46
  380,20100219,   35
  380,20100220,   15
  380,20100221,   26
  380,20100222,   77
  380,20100223,   42
  380,20100224,   85
  380,20100225,   92
  380,20100226,   78
  380,20100227,   81
  380,20100228,   66
